id,電話番号,家賃,管理費_共益費,敷金,礼金,保証金,敷引_償却,所在地,駅徒歩,間取り,専有面積,築年数,階,向き,建物種別,間取り詳細,構造,階建,築年月,エネルギー消費性能,断熱性能,目安光熱費,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,保証会社,ほか諸費用,備考,create_at
348,06-6195-4733,5.5万円,8000円,-,5.5万円,-,-,大阪府大阪市淀川区宮原１,"ＪＲおおさか東線/新大阪駅 歩4分
ＪＲ東海道本線/東淀川駅 歩7分
地下鉄御堂筋線/東三国駅 歩8分",1K,18.96m2,築24年,8階,東,マンション,洋6 K,鉄骨鉄筋,8階/12階建,2001年10月,-,-,-,要,近隣250m25000円,相談,仲介,二人入居可,12454793,100453676363,168戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回契約時：100％、月額：1.5％,ＦＡＮＴＡＳライフサポート（火災保険含む）　2420円／月額　ハウスクリーニング　44000円／退去時　エアコン分解清掃　19800円／退去時　24時間管理費　880円／月額　更新料　1ヶ月,Osaka Metro御堂筋線 西中島南駅徒歩14分,2025-09-03 05:00:19
349,06-6306-6027,5.3万円,10850円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩3分
ＪＲ東海道本線/東淀川駅 歩7分
阪急宝塚線/三国駅 歩20分",1K,21.09m2,築24年,7階,東,マンション,洋6 K2,鉄骨鉄筋,7階/12階建,2001年11月,-,-,-,1.8万円2年,敷地内26000円,相談,仲介,二人入居可/ペット相談,1248193,100351588403,168戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 詳細はお問合せ下さい。,安心クラブ　８８０円／月額,常駐管理/他にも沢山の物件のご用意ございますのでお気軽にお問い合わせくださいませ。,2025-09-03 05:00:22
350,0800-1237493,5.3万円,10850円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
ＪＲ東海道本線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩8分",1K,19.02m2,築24年,3階,東,マンション,洋6 K2.5,鉄骨鉄筋,3階/12階建,2001年11月,-,-,-,1.8万円2年,-,25年9月下旬,仲介,二人入居可/ペット相談,HC2-3127129-310-0243,100454493900,168戸,2025/09/02,次回更新日は情報更新日より１５日以内,,オリコフォレントインシュア利用必 初回保証料：月額総賃料の50％　月額保証料：月額総賃料の1.5％　要,更新料　16500円　室内清掃費用　30800円　月額：エステム安心クラブ　990円　水道代　2000円,ペット飼育登録料 契約時 5 000円（税込） ペット飼育時 ○ 退去時：消毒費 退去時 22 000円（税込） ペット飼育時のみ・エアコンクリーニング代 退去時 13 200円（税込） 1台毎,2025-09-03 05:01:26
351,0078-600688277,5.9万円,5000円,-,11.8万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩5分
ＪＲ東海道本線/新大阪駅 歩9分",ワンルーム,18.89m2,築24年,9階,南,マンション,洋6,鉄骨鉄筋,9階/12階建,2001年11月,-,-,-,1.8万円2年,敷地内27500円,即,仲介,事務所利用不可,13937200,100399820512,168戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 casa　初回保証料：月額総賃料の50％　　更新料：１万円/１年,,東海道本線 東淀川駅徒歩9分/巡回管理,2025-09-03 05:00:33
352,06-6842-2211,5.9万円,5000円,-,11.8万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩5分
ＪＲ東海道本線/東淀川駅 歩9分
地下鉄御堂筋線/東三国駅 歩7分",1K,18.89m2,築24年,9階,南,マンション,洋6,鉄骨鉄筋,9階/12階建,2001年11月,-,-,-,1.8万円2年,-,相談,仲介,-,15231546,100448422003,168戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回保証料50％年間保証料1年毎10、000円,更新料132000円　水道代2000円,大阪市御堂筋線 西中島南方駅徒歩16分/契約事務手数料 契約時　(税込）/11000円、くらしーど２４ 契約時　（税込）任意/16500円,2025-09-03 05:01:36
353,06-6195-4733,5.8万円,7000円,-,10万円,-,-,大阪府大阪市淀川区宮原１,"ＪＲおおさか東線/新大阪駅 歩4分
ＪＲ東海道本線/東淀川駅 歩7分
地下鉄御堂筋線/東三国駅 歩8分",1DK,23.87m2,築24年,2階,東,マンション,洋6 DK4.1,鉄骨鉄筋,2階/12階建,2001年10月,-,-,-,2.2万円2年,近隣250m25000円,即,仲介,二人入居可/ペット相談,12511868,100455390212,168戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 要確認,ハウスクリーニング　33000円／退去時　水道料　2200円／月額,Osaka Metro御堂筋線 西中島南駅徒歩14分,2025-09-03 05:00:40
354,06-6310-1962,5.9万円,6000円,-,-,-,-,大阪府大阪市淀川区宮原１,"ＪＲおおさか東線/新大阪駅 歩3分
東海道新幹線/新大阪駅 歩4分
山陽新幹線/新大阪駅 歩4分",1K,18.76m2,築24年,6階,-,マンション,洋6,鉄筋コン,6階/12階建,2001年10月,-,-,-,2万円2年,近隣20m22000円,即,仲介,二人入居可/子供可/ルームシェア相談,758655,100433614695,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 保証会社に基づく。,,ハウスモ江坂店では経験豊富なスタッフが在籍しており、大阪府内全域でお部屋探しが可能です。インターネットに掲載している物件はごく一部ですので是非お気軽にお問い合わせ下さいませ。各種クレジットカードも利用可能です。賃貸、売買、事務所、店舗、全て対応可能ですのでお気軽にお尋ね下さいませ。,2025-09-03 05:00:44
355,0800-1237556,5.59万円,10970円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
ＪＲ東海道本線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩8分",1K,19.13m2,築24年,4階,東,マンション,洋6 K2.5,鉄骨鉄筋,4階/12階建,2001年11月,-,-,-,1.8万円2年,敷地内26000円,25年9月下旬,仲介,子供不可/事務所利用不可,HC2-3127129-0406-0241,100457304693,168戸,2025/09/02,次回更新日は情報更新日より１５日以内,,全保連利用必 初回保証料：賃料総額50％　更新事務手数料：10 000円/年,更新料　16500円　室内清掃費用　30800円　月額：水道代　2200円　バイク置場500円／月　駐輪場500円／月,短期解約違約金：1年未満総賃料の2ヶ月、2年未満総賃料の1ヶ月,2025-09-03 05:00:52
356,06-6337-5151,6万円,11000円,-,6万円,-,-,大阪府大阪市淀川区宮原１,"ＪＲ東海道本線/新大阪駅 歩4分
地下鉄御堂筋線/新大阪駅 歩4分
阪急京都線/崇禅寺駅 歩20分",1K,18.9m2,築25年,9階,西,マンション,洋6 K1.5 ロフト 1.5-1.5,鉄骨鉄筋,9階/12階建,2001年1月,-,-,-,要,敷地内23000円,即,仲介,-,2131789,100345913013,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 必須 初回総賃料の100％,火災保険料　月額800円　リブクラブ　月額2200円,通勤管理/内見代行・写真撮影/動画撮影/WEB契約等来店不要でご契約可能です。お気軽にご相談下さい。,2025-09-03 05:01:03
357,0800-1237805,6.4万円,11000円,-,6.4万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
ＪＲ東海道本線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩8分",1K,18.9m2,築24年,9階,北,マンション,洋6 K2.5,鉄骨鉄筋,9階/12階建,2001年11月,-,-,-,要,-,25年9月中旬,仲介,事務所利用不可,HC2-3127129-917-0246,100400135146,168戸,2025/09/02,次回更新日は情報更新日より１５日以内,定期借家 2年,保証会社利用必 初回保証料：総賃料の100％　更新時：20 000円/年毎,更新料　新賃料1.00ヶ月分　室内清掃費用　55000円　月額：リブクラブ　2200円　SBI少額短期保険　800円,,2025-09-03 05:01:10
358,06-6310-1962,6万円,15000円,-,6万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩5分
ＪＲ東海道本線/東淀川駅 歩8分",1K,18.97m2,築24年,8階,南,マンション,洋6,鉄骨鉄筋,8階/12階建,2001年11月,-,-,-,1.8万円2年,近隣30m25000円,即,仲介,単身者可/二人入居可/子供可/ペット相談/事務所利用相談/ルームシェア相談,798612,100452972406,168戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 1年,オリコフォレントインシュア利用必 初回保証料総賃料の50％　月額1.5％,室内清掃費用　52800円　エステム安心クラブ　月額880円,ハウスモ江坂店では経験豊富なスタッフが在籍しており、大阪府内全域でお部屋探しが可能です。インターネットに掲載している物件はごく一部ですので是非お気軽にお問い合わせ下さいませ。各種クレジットカードも利用可能です。賃貸、売買、事務所、店舗、全て対応可能ですのでお気軽にお尋ね下さいませ。,2025-09-03 05:01:14
359,06-6310-1962,6.5万円,10000円,-,6.5万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩5分
ＪＲ東海道本線/東淀川駅 歩8分",1K,18.9m2,築24年,8階,北,マンション,洋6,鉄骨鉄筋,8階/12階建,2001年11月,-,-,-,要,近隣20m22000円,即,仲介,単身者可/二人入居可/子供可/ペット相談/事務所利用相談/ルームシェア相談,798611,100452972404,168戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 保証会社に基づく。,室内清掃費用　52800円,ハウスモ江坂店では経験豊富なスタッフが在籍しており、大阪府内全域でお部屋探しが可能です。インターネットに掲載している物件はごく一部ですので是非お気軽にお問い合わせ下さいませ。各種クレジットカードも利用可能です。賃貸、売買、事務所、店舗、全て対応可能ですのでお気軽にお尋ね下さいませ。,2025-09-03 05:01:17
360,06-6310-1962,6.6万円,10000円,-,6.6万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩5分
ＪＲ東海道本線/東淀川駅 歩8分",1K,19.13m2,築24年,6階,東,マンション,洋6,鉄骨鉄筋,6階/12階建,2001年11月,-,-,-,-,近隣20m19800円,即,仲介,単身者可/二人入居可/子供可/ペット相談/事務所利用相談/ルームシェア相談,798602,100452972395,168戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 保証会社に基づく。,室内清掃費用　52800円　水道代　月額2000円,ハウスモ江坂店では経験豊富なスタッフが在籍しており、大阪府内全域でお部屋探しが可能です。インターネットに掲載している物件はごく一部ですので是非お気軽にお問い合わせ下さいませ。各種クレジットカードも利用可能です。賃貸、売買、事務所、店舗、全て対応可能ですのでお気軽にお尋ね下さいませ。,2025-09-03 05:01:21
361,0800-1237805,6.55万円,11000円,-,6.55万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
ＪＲ東海道本線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩8分",1K,19.13m2,築24年,2階,北,マンション,洋6 K2.5,鉄骨鉄筋,2階/12階建,2001年11月,-,-,-,要,-,25年9月中旬,仲介,ペット相談/事務所利用不可,HC2-3127129-208-0246,100451087317,168戸,2025/09/02,次回更新日は情報更新日より１５日以内,定期借家 2年,保証会社利用必 初回保証料:総賃料の100％　更新時:20 000円/年毎,更新料　新賃料1.00ヶ月分　室内清掃費用　55000円　月額：リブクラブ　2200円　保険　800円,,2025-09-03 05:01:30
362,0800-1237819,6.7万円,10000円,-,6.7万円,-,-,大阪府大阪市淀川区宮原１,"ＪＲ東海道本線/新大阪駅 歩4分
地下鉄御堂筋線/新大阪駅 歩4分",1K,19.13m2,築24年,6階,東,マンション,-,鉄骨鉄筋,6階/12階建,2001年11月,-,-,-,1.8万円2年,-,即,仲介,法人希望/二人入居可/ペット相談,HC5-2162251-606-0245,100455568258,168戸,2025/09/02,次回更新日は情報更新日より１５日以内,,日本セーフティー利用必 初回保証料:総賃料の50％ 月額保証料:800円(別途引き落とし手数料440円) 初回保証料は決済金預かりです,室内清掃費用　52800円,,2025-09-03 05:01:33
363,06-6310-1962,6.8万円,10000円,-,6.8万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩5分
ＪＲ東海道本線/東淀川駅 歩8分",1K,18.9m2,築24年,7階,東,マンション,洋6,鉄骨鉄筋,7階/12階建,2001年11月,-,-,-,要,近隣20m20000円,即,仲介,単身者可/二人入居可/子供可/ペット相談/事務所利用相談/ルームシェア相談,798608,100452972391,168戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 保証会社に基づく。,室内清掃費用　52800円,ハウスモ江坂店では経験豊富なスタッフが在籍しており、大阪府内全域でお部屋探しが可能です。インターネットに掲載している物件はごく一部ですので是非お気軽にお問い合わせ下さいませ。各種クレジットカードも利用可能です。賃貸、売買、事務所、店舗、全て対応可能ですのでお気軽にお尋ね下さいませ。,2025-09-03 05:01:40
364,06-6120-5544,6.57万円,13180円,-,-,-,-,大阪府大阪市淀川区宮原１,"ＪＲ東海道本線/新大阪駅 歩8分
地下鉄御堂筋線/東三国駅 歩8分
阪急京都線/崇禅寺駅 歩21分",1DK,23.87m2,築24年,7階,東,マンション,洋6 DK4.1 ロフト 4,鉄骨鉄筋,7階/12階建,2001年10月,-,-,-,1.7万円2年,-,即,仲介,二人入居可/ペット相談,488143,100455021675,168戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 エステム保証　 初回 総賃料50％　月額 1.5％　／　セーフティ　初回 総賃料 100％　月額保証料 800円　引落し手数料 330円（税込）,エステム安心クラブ　月額990円,,2025-09-03 05:01:44
365,06-6310-1962,7.5万円,10000円,-,7.5万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩4分
地下鉄御堂筋線/東三国駅 歩5分
ＪＲ東海道本線/東淀川駅 歩8分",1K,19.25m2,築24年,8階,西,マンション,洋6,鉄骨鉄筋,8階/12階建,2001年11月,-,-,-,1.8万円2年,近隣30m25000円,即,仲介,単身者可/二人入居可/子供可/ペット相談/事務所利用相談/ルームシェア相談,798604,100452972397,168戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 1年,オリコフォレントインシュア利用必 初回保証料:総賃料の50％ 月額更新料:総賃料の1.5％,室内清掃費用　52800円　エステム安心クラブ　月額880円,ハウスモ江坂店では経験豊富なスタッフが在籍しており、大阪府内全域でお部屋探しが可能です。インターネットに掲載している物件はごく一部ですので是非お気軽にお問い合わせ下さいませ。各種クレジットカードも利用可能です。賃貸、売買、事務所、店舗、全て対応可能ですのでお気軽にお尋ね下さいませ。,2025-09-03 05:01:48
366,06-6391-2291,11.4万円,7000円,5万円,25万円,-,-,大阪府大阪市淀川区東三国６,"地下鉄御堂筋線/東三国駅 歩8分
阪急宝塚線/三国駅 歩16分
ＪＲ東海道本線/東淀川駅 歩18分",1LDK,42.35m2,築9年,3階,北,マンション,洋5.2 LDK11.8,鉄骨,3階/3階建,2017年6月,-,-,-,1.78万円2年,近隣150m18000円,即,仲介,二人入居可/子供可/事務所利用不可,si0000027477,100410872726,14戸,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,オリコフォレントインシュア利用必 初回に33000円、毎月2％の手数料が必要。,シャーメゾンライフサポート 1320円/月,御堂筋線、阪急沿線等でのお部屋探しはキョウシン新大阪店までご来店下さい。創業49年以上の実績で独占物件も多数あります。積水ハウス、大和ハウス等大手ハウスメーカー特約店です。法人契約等条件交渉もお任せ下さい。,2025-09-03 05:01:52
367,06-6337-4446,11.4万円,7000円,5万円,25万円,-,-,大阪府大阪市淀川区東三国６,"地下鉄御堂筋線/東三国駅 車10分(0.8km)
阪急宝塚線/三国駅 車13分(1.0km)
ＪＲ東海道本線/東淀川駅 歩17分",1LDK,41.66m2,築9年,3階,北,マンション,洋6 LDK10.9,鉄骨,3階/3階建,2017年7月,-,-,-,-,-,即,仲介,二人入居可,2792199,100453884264,-,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 初回保証料33、000円・月額保証料賃料総額の2％要,更新料1ヵ月,東海道本線 新大阪駅徒歩25分/巡回管理/シャーメゾンライフSUPPORT24(税込)/月額:1320円,2025-09-03 05:01:56
368,0078-600685615,7.3万円,6500円,-,-,-,-,大阪府大阪市淀川区三国本町１,"阪急宝塚線/三国駅 歩13分
地下鉄御堂筋線/新大阪駅 歩15分
地下鉄御堂筋線/西中島南方駅 歩20分",1LDK,27.03m2,築8年,6階,北東,マンション,-,鉄筋コン,6階/8階建,2018年3月,-,-,-,1.8万円2年,敷地内22000円,25年10月下旬,仲介,-,7185876,100457985133,-,2025/09/03,次回更新日は情報更新日より８日以内,,保証会社利用必 プレミアライフ　　保証料：総額賃料50％、更新保証料：滞納暦無1万円／1年・滞納暦有2万円／1年、最,町会費200円,阪急電鉄京都線 十三駅徒歩20分/駐輪代（税込）/108円、他バイク代（税込）/3240円,2025-09-03 05:02:01
369,0120-825481,7.8万円,6500円,-,-,-,-,大阪府大阪市淀川区三国本町１,"阪急宝塚線/三国駅 歩10分
地下鉄御堂筋線/新大阪駅 歩14分
ＪＲ東海道本線/新大阪駅 歩14分",1LDK,30.03m2,築8年,2階,西,マンション,-,鉄筋コン,2階/8階建,2018年2月,-,-,-,1.3万円2年,敷地内20000円,即,仲介,単身者可/二人入居可,23201,100456235640,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 1年,保証会社利用必 初回保証料：総賃料の40％,,オンライン内覧やWEB契約など、ご来店なしで契約ができます★関西圏のお部屋探しはRoom Heartsまで♪,2025-09-03 05:02:05
370,0120-825481,7.8万円,6500円,-,-,-,-,大阪府大阪市淀川区三国本町１,"阪急宝塚線/三国駅 歩10分
地下鉄御堂筋線/新大阪駅 歩14分
ＪＲ東海道本線/新大阪駅 歩14分",1LDK,30.03m2,築8年,3階,西,マンション,-,鉄筋コン,3階/8階建,2018年2月,-,-,-,1.3万円2年,敷地内20000円,即,仲介,単身者可/二人入居可,23200,100456235634,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 1年,保証会社利用必 初回保証料：総賃料の40％,,オンライン内覧やWEB契約など、ご来店なしで契約ができます★関西圏のお部屋探しはRoom Heartsまで♪,2025-09-03 05:02:09
371,0078-600685615,7.8万円,6500円,-,-,-,-,大阪府大阪市淀川区三国本町１,"阪急宝塚線/三国駅 歩13分
地下鉄御堂筋線/新大阪駅 歩15分
地下鉄御堂筋線/西中島南方駅 歩20分",1LDK,30.03m2,築8年,2階,東,マンション,-,鉄筋コン,2階/8階建,2018年3月,-,-,-,-,敷地内24200円,25年10月下旬,仲介,-,7185828,100457985101,-,2025/09/03,次回更新日は情報更新日より８日以内,,保証会社利用必 賃貸保証料　580円　1年　賃貸保証更新料　10000円　初回保証料:総賃料の40％（最低保証料16,,阪急電鉄京都線 十三駅徒歩20分/駐輪場代/100円,2025-09-03 05:02:12
372,06-6306-6061,9万円,6000円,5万円,20万円,-,-,大阪府大阪市淀川区新高３,"阪急宝塚線/三国駅 歩2分
阪急神戸線/神崎川駅 歩14分
地下鉄御堂筋線/東三国駅 歩23分",1LDK,47.68m2,築22年,5階,-,マンション,洋5.9 LDK9.2,鉄筋コン,5階/6階建,2004年8月,-,-,-,要,近隣200m22000円,即,仲介,-,268300,100457740161,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,,,,2025-09-03 05:02:16
373,06-6100-2022,6.6万円,8000円,-,13.2万円,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
ＪＲ東海道本線/新大阪駅 歩11分
地下鉄御堂筋線/東三国駅 歩17分",1K,23.2m2,築8年,3階,南,マンション,洋7 K2,鉄筋コン,3階/15階建,2018年3月,-,-,-,1.8万円2年,近隣80m30800円,即,仲介,-,8431838,100456721561,252戸,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 要確認,ハウスクリーニング　25300円／退去時,巡回管理/ネットで気なっている物件全て（他業者様物件含む）、ご予約やお問い合わせをされていなくても、当日すぐにご案内が可能です。大阪エリアのお部屋探しはぜひ当社にお任せ下さい！,2025-09-03 05:02:21
374,06-6306-6027,6.6万円,10000円,-,13.2万円,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩13分
地下鉄御堂筋線/東三国駅 歩17分
阪急宝塚線/三国駅 歩14分",1K,24m2,築8年,3階,西,マンション,洋7 K2.5,鉄筋コン,3階/15階建,2018年3月,-,-,-,1.5万円2年,敷地内30240円,即,仲介,-,1006,100403428475,-,2025/09/02,次回更新日は情報更新日より１５日以内,,,更新料　１１０００円,巡回管理/早く中のお部屋が見たいなあーー,2025-09-03 05:03:24
375,06-6326-7008,6.7万円,10000円,-,13.4万円,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩15分
地下鉄御堂筋線/東三国駅 歩15分",1K,23.2m2,築8年,6階,南,マンション,洋7,鉄筋コン,6階/15階建,2018年3月,-,-,-,要,-,即,仲介,-,38516,100457018138,-,2025/09/02,次回更新日は情報更新日より８日以内,,,,,2025-09-03 05:02:29
376,06-6842-2211,6.7万円,10000円,-,13.4万円,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩14分
地下鉄御堂筋線/東三国駅 歩17分",1K,22.08m2,築8年,4階,東,マンション,洋6 K2.5,鉄筋コン,4階/15階建,2018年3月,-,-,-,-,敷地内30800円,相談,仲介,-,13702228,100457284511,252戸,2025/09/02,次回更新日は情報更新日より８日以内,,日本セーフティー利用必 保証人有40％、無50％、更新料1万円／年、手数料440円／（税込・月）,更新事務手数料11000円,大阪市御堂筋線 西中島南方駅徒歩23分/巡回管理/鍵発行手数料（税込）/16500円、駐輪場/220円、バイク置場/3300円、退去時ハウスクリーニング代（税込）/25300円、エアコンクリーニング代／1台（税込）/13200円,2025-09-03 05:02:34
377,06-6120-5544,6.9万円,10000円,-,13.8万円,-,-,大阪府大阪市淀川区西宮原２,"阪急宝塚線/三国駅 歩15分
ＪＲ東海道本線/新大阪駅 歩15分
地下鉄御堂筋線/東三国駅 歩18分",1K,23.2m2,築8年,6階,東,マンション,洋6,鉄筋コン,6階/15階建,2018年3月,-,-,-,1.8万円2年,敷地内30800円,相談,仲介,-,472301,100435721962,252戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回保証料50％　更新時10 000円/年　手数料毎月440円,,,2025-09-03 05:03:35
378,06-6337-5151,7万円,12000円,-,-,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
ＪＲ東海道本線/新大阪駅 歩15分
阪急宝塚線/三国駅 歩15分",1DK,25.67m2,築8年,2階,西,マンション,洋3.4 DK5.7,鉄筋コン,2階/15階建,2018年3月,-,-,-,1.8万円2年,敷地内30240円,即,仲介,-,5697708,100450046234,252戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 必須 保証会社料：総賃料40％,,巡回管理/内見代行・写真撮影/動画撮影/WEB契約等来店不要でご契約可能です。お気軽にご相談下さい。,2025-09-03 05:02:41
379,072-763-4146,7.2万円,10000円,-,14.4万円,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩14分
地下鉄御堂筋線/東三国駅 歩17分",1K,23.2m2,築8年,12階,南,マンション,洋7.1,鉄筋コン,12階/15階建,2018年3月,-,-,-,-,敷地内30800円,相談,仲介,-,15681479,100457354336,252戸,2025/09/02,次回更新日は情報更新日より８日以内,,日本セーフティー利用必 保証人有40％、無50％、更新料1万円／年、手数料440円（税込／月）,更新事務手数料11000円,大阪市御堂筋線 西中島南方駅徒歩23分/巡回管理/退去時クリーニング代（税込）/25300円、バイク置場その他/3300円、駐輪場代/220円、鍵発行手数料（税込）/16500円、エアコンクリーニング代／1台（税込）/13200円,2025-09-03 05:02:45
380,06-6842-2211,7.7万円,12000円,-,15.4万円,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩14分
地下鉄御堂筋線/東三国駅 歩17分",1DK,25.67m2,築8年,5階,南,マンション,洋3.3 DK5.7,鉄筋コン,5階/15階建,2018年3月,-,-,-,-,敷地内31680円,相談,仲介,-,15681086,100457284506,252戸,2025/09/02,次回更新日は情報更新日より８日以内,,日本セーフティー利用必 初回保証料：保証人有40％、無50％、更新料：10000円／年、手数料：440円／（税込・月）,更新事務手数料11000円,大阪市御堂筋線 西中島南方駅徒歩23分/巡回管理/退去時クリーニング代（税込）/25300円、バイク置場その他/3300円、駐輪場代/220円、鍵発行手数料（税込）/16500円、エアコンクリーニング代／1台（税込）/13200円,2025-09-03 05:02:49
381,072-763-4146,7.7万円,12000円,-,15.4万円,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩14分
地下鉄御堂筋線/東三国駅 歩17分",1DK,25.67m2,築8年,3階,西,マンション,洋3.4 DK5.7,鉄筋コン,3階/15階建,2018年3月,-,-,-,-,敷地内30800円,相談,仲介,-,13831920,100457283706,252戸,2025/09/02,次回更新日は情報更新日より８日以内,,日本セーフティー利用必 保証人有40％、無50％、更新料1万円／年、手数料440円／（税込・月）,更新事務手数料11000円,大阪市御堂筋線 西中島南方駅徒歩23分/巡回管理/鍵発行手数料（税込）/16500円、バイク置場（その他）/3300円、駐輪場代/220円、エアコンクリーニング代（税込）／1台/13200円、退去時ハウスクリーニング代（税込）/25300円,2025-09-03 05:04:43
382,06-6310-1962,10.2万円,12000円,-,-,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
ＪＲ東海道本線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩13分",1LDK,35.1m2,築8年,10階,南,マンション,洋3.3 LDK10.0,鉄筋コン,10階/15階建,2018年3月,-,-,-,1.8万円2年,敷地内30800円,即,仲介,二人入居可/子供可/ルームシェア相談,784149,100445503235,252戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回保証料40％ １年毎更新10 000円,室内清掃費用　33000円,ハウスモ江坂店では経験豊富なスタッフが在籍しており、大阪府内全域でお部屋探しが可能です。インターネットに掲載している物件はごく一部ですので是非お気軽にお問い合わせ下さいませ。各種クレジットカードも利用可能です。賃貸、売買、事務所、店舗、全て対応可能ですのでお気軽にお尋ね下さいませ。,2025-09-03 05:03:51
383,06-6301-4446,10.6万円,12000円,-,21.2万円,-,-,大阪府大阪市淀川区西宮原２,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩10分
地下鉄御堂筋線/東三国駅 歩12分",1LDK,34.32m2,築8年,11階,西,マンション,洋4 LDK10,鉄筋コン,11階/15階建,2018年3月,-,-,-,-,敷地内30800円,相談,仲介,二人入居可/事務所利用不可/ルームシェア相談,14900930,100454347939,252戸,2025/09/02,次回更新日は情報更新日より８日以内,,日本セーフティー利用必 保証人有40％、無50％、更新料1万円／年、手数料440円／（税込・月）,更新事務手数料11000円,大阪市御堂筋線 西中島南方駅徒歩19分/巡回管理/退去時クリーニング代（税込）/33000円、バイク置場その他/3300円、駐輪場代/220円、鍵発行手数料（税込）/16500円、エアコンクリーニング代／1台（税込）/13200円,2025-09-03 05:04:50
